id,lon,lat,주차장,주정차,sumpark_sl,sumhouse_n,count,대중교?,sumbd_area,count_1,가점1,가점2,가점3,ADM_DR_NM,sum인구?,area,인구밀?,등록대?,경도_sum,위도_sum,주차원단위,법정원단위,가점4,순위
"462",129.09939,35.14700,"1",0.00000,12.00000,0.00000,5.00000,"0",183.2400000000000091,3.0000000000000000,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",387.294600,105.443460,2.485140,1.870870,"5","301"
"463",129.09939,35.14480,"1",1.00000,9.00000,0.00000,2.00000,"1",18720.3199999999997090,1.0000000000000000,"0","1","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",258.198200,70.287960,1.609420,1.211600,"1","306"
"464",129.09939,35.14259,"1",14.00000,54.00000,0.00000,15.00000,"0",34575.9599999999991269,3.0000000000000000,"11","1","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",645.495300,175.715220,4.096150,3.083680,"3","290"
"465",129.09939,35.14039,"0",12.00000,,564.00000,14.00000,"0",360.3399999999999750,1.0000000000000000,"0","1","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",258.199100,70.281770,1.755350,1.321460,"10","105"
"466",129.09939,35.13819,"5",1594.00000,422.00000,0.00000,20.00000,"2",38785.9600000000136788,16.0000000000000000,"3","13","1",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",2969.292500,808.177620,22.628700,16.708740,"3","230"
"467",129.09939,35.13598,"82",1787.00000,1236.00000,607.00000,141.00000,"2",122169.2719999999826541,109.0000000000000000,"3","107","5",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",14846.446400,4040.614480,119.675620,88.569960,"25","74"
"468",129.09939,35.13378,"99",445.00000,626.00000,763.00000,246.00000,"0",50015.5971999999965192,188.0000000000000000,"1","74","2",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",26852.661700,7307.813360,205.800540,148.449770,"168","58"
"469",129.09939,35.13157,"117",52.00000,685.00000,1678.00000,231.00000,"0",60744.1029999999736901,191.0000000000000000,"2","16","1",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",26723.561900,7272.257030,212.139410,154.890400,"212","21"
"470",129.09939,35.12937,"25",84.00000,287.00000,128.00000,52.00000,"1",24296.9919999999983702,37.0000000000000000,"9","21","1",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",5422.184900,1475.450760,42.175620,30.361790,"20","167"
"471",129.09939,35.12717,"0",106.00000,,0.00000,1.00000,"0",,,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",,,,,"1","333"
"472",129.09939,35.12496,"11",32.00000,55.00000,4.00000,26.00000,"0",9116.6999999999989086,17.0000000000000000,"0","11","2",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",2711.090100,737.614810,54.296160,31.684730,"10","198"
"495",129.10209,35.15141,"0",0.00000,,,,"0",,,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",,,,,"0","334"
"496",129.10209,35.14920,"0",0.00000,,,,"0",,,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",,,,,"0","334"
"497",129.10209,35.14700,"1",0.00000,19.00000,16.00000,1.00000,"0",,,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",129.101600,35.146020,0.806790,0.607370,"1","244"
"498",129.10209,35.14480,"3",0.00000,62.00000,0.00000,3.00000,"0",537.5399999999999636,3.0000000000000000,"0","1","1",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",387.303700,105.434390,2.419430,1.643310,"0","288"
"499",129.10209,35.14259,"1",186.00000,3489.00000,2304.00000,38.00000,"0",51524.1499999999941792,3.0000000000000000,"1","3","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",516.405300,140.569880,3.212370,2.418340,"16","17"
